股票代码,stock_short,company_name,regno_or_creditcode,type,更新时间
838273,异瀚数码,上海异瀚数码科技股份有限公司,91310105062511180U,上海,
838274,星捷安,海南星捷安科技股份有限公司,91460100721214308R,海南,
838275,驱动力,广东驱动力饲料股份有限公司,91440101596173104K,广东,
838276,七彩化学,鞍山七彩化学股份有限公司,91210300788777922C,辽宁,
838277,湘旭鸿,湖南湘旭鸿房地产经纪股份有限公司,9143010266166658XB,湖南,
838278,海光药业,天津海光药业股份有限公司,91120116104312084L,天津,
838279,欧瑞电气,常州欧瑞电气股份有限公司,91320412669636422A,江苏,
838280,盛世华安,江苏盛世华安智能科技股份有限公司,91320500550299393C,江苏,
838281,合力达,山东合力达科技股份有限公司,91370100774160112E,山东,
838282,三惠建设,南京三惠建设工程股份有限公司,91320111249686386E,江苏,
838283,润蓝环保,中科润蓝环保技术（北京）股份有限公司,911101057334729294,北京,
838284,时代华商,广州时代华商人才培训股份有限公司,914401010525906980,广东,
838285,瑞诚股份,北京瑞诚广告股份有限公司,91110105748807576J,北京,
838286,集慧智佳,北京集慧智佳知识产权管理咨询股份有限公司,911101080696230707,北京,
838287,百欧森,深圳市百欧森环保科技股份有限公司,91440300797952200K,广东,
838288,艾彼科技,浙江艾彼科技股份有限公司,91331003590580569G,浙江,
838289,黄兴冷链,湖南黄兴冷链物流股份有限公司,91430121559516497X,湖南,
838291,星汉信息,浙江星汉信息技术股份有限公司,913301037544330641,浙江,
838292,新卡奔,江西新卡奔科技股份有限公司,9136092167243192X3,江西,
838293,般若股份,北京般若企业策划股份有限公司,91110228101830572J,北京,
838294,井泉中药,安徽井泉中药股份有限公司,913416007711177766,安徽,
838295,浔沣轨道,广州浔沣轨道交通科技股份有限公司,914401015679162638,广东,
838296,威振股份,广州威振印刷技术股份有限公司,914401067973913516,广东,
838297,启翔景程,陕西启翔景程电子科技股份有限公司,91610138791689974L,陕西,
838298,益江环保,广西益江环保科技股份有限公司,91450100697627240B,广西,
838299,子华停车,浙江子华停车设备科技股份有限公司,91330621554036849C,浙江,
838300,新纪源,广东新纪源复合材料股份有限公司,914451037314710680,广东,
838301,科德智能,廊坊科德智能仓储装备股份有限公司,91131000694678632D,河北,
838302,开普勒,郑州开普勒测控技术股份有限公司,914101000626764283,河南,
838303,阳光三极,山西阳光三极科技股份有限公司,9114010027620379X0,山西,
838304,怀教网络,北京怀教网络科技股份有限公司,91110116756735576C,北京,
838305,鑫岳影视,上海鑫岳影视传播股份有限公司,91310117057653547D,上海,
838306,歌华电子,沈阳歌华电子科技股份有限公司,91210103679533830A,辽宁,
838307,源大医疗,北京源大医疗科技股份有限公司,911101150573608243,北京,
838308,臻顺智能,上海臻顺智能科技股份有限公司,310230000422151 ,上海,
838309,天宇网络,东莞市天宇网络技术股份有限公司,9144190068644545XN,广东,
838310,遂昌旅游,浙江遂昌旅游发展股份有限公司,913311237410371187,浙江,
838311,贝迪生物,无锡贝迪生物工程股份有限公司,91320200752042166C,江苏,
838312,朝农高科,安徽朝农高科化工股份有限公司,91341881766886538F,安徽,
838313,神州安信,北京神州安信科技股份有限公司,91110108573194842X,北京,
838314,华仪电子,浙江华仪电子股份有限公司,330382000037616 ,浙江,
838315,特里尼斯,北京特里尼斯石油技术股份有限公司,911101017985139392,北京,
838316,恒通云,杭州恒通云信息科技股份有限公司,91330108557924374K,浙江,
838317,明宇科技,广东明宇科技股份有限公司,91445100799318262W,广东,
838319,科思特,武汉科思特仪器股份有限公司,91420100666779356K,湖北,
838320,普尔顿,昆明普尔顿环保科技股份有限公司,530100100090316 ,云南,
838322,达创科技,山东达创网络科技股份有限公司,91370100672265247M,山东,
838323,江苏山水,江苏山水节能服务股份有限公司,91320500564296169M,江苏,
838324,广尔数码,广州广尔数码供应链管理股份有限公司,91440114MA59A8U36W,广东,
838325,罗曼智能,广东罗曼智能科技股份有限公司,91441900560852543J,广东,
838326,新高股份,中山新高电子材料股份有限公司,91442000775099958C,广东,
838328,长成新能,长成新能股份有限公司,914404007929638917,广东,
838329,金煤科技,北京金煤创业科技股份有限公司,91110107786895116M,北京,
838331,装库创意,吉林省装库创意科技股份有限公司,91220101589477417E,吉林,
838332,威特焊材,兰州威特焊材科技股份有限公司,91620100710392205H,甘肃,
838333,同百科技,上海同百智能门窗科技股份有限公司,91310116688774337C,上海,
838334,金证互通,北京金证互通资本服务股份有限公司,110101007809892 ,北京,
838335,上海领灿,上海领灿投资咨询股份有限公司,91310115784286499U,上海,
838336,圆融汇通,深圳圆融汇通跨境电商物流股份有限公司,91440300678591959G,广东,
838337,高端精密,东莞高端精密电子股份有限公司,91441900762929254N,广东,
838338,嘉捷通,上海嘉捷通电路科技股份有限公司,91310114760573215T,上海,
838339,劲牛股份,山东劲牛生物科技股份有限公司,913701007710036648,山东,
838340,鹰明电商,成都鹰明电子商务股份有限公司,510109000276850 ,四川,
838341,南商农科,河南南商农牧科技股份有限公司,91411328072693715Y,河南,
838342,双友科技,江苏双友智能装备科技股份有限公司,913202007990568646,江苏,
838343,腾达国际,上海腾达国际物流股份有限公司,913101136822107846,上海,
838344,新创股份,广东新创华科环保股份有限公司,91441900698179822H,广东,
838345,生命伟业,湖南生命伟业环保科技股份有限公司,91430200736764687D,湖南,
838346,浩华股份,湖北浩华工程项目管理股份有限公司,914201067680595797,湖北,
838347,金鼎光学,广东金鼎光学技术股份有限公司,914420005813613723,广东,
838348,银锐智能,安徽银锐智能科技股份有限公司,91340300774975995U,安徽,
838349,乐舱网,山东乐舱网国际物流股份有限公司,91370200766739933R,山东,
838350,博莱特,宁波博莱特光电科技股份有限公司,913302826913733827,浙江,
838351,贝克诺斯,苏州贝克诺斯电子科技股份有限公司,91320506575387613B,江苏,
838352,桑莱士,惠州市桑莱士智能科技股份有限公司,914413006615365741,广东,
838353,太平洋股,北京太平洋加达出国顾问股份有限公司,91110000680452499E,北京,
838354,融诚检测,福建融诚检测技术股份有限公司,913506027593584032,福建,
838355,锐驰高科,锐驰高科股份有限公司,91410900173958399B,河南,
838356,宇松科技,浙江宇松科技股份有限公司,913301106970665001,浙江,
838357,三浦车库,广东三浦车库股份有限公司,91441200680649419D,广东,
838358,诚业股份,河北诚业智能科技股份有限公司,91130100669087152M,河北,
838359,浙江钰烯,浙江钰烯腐蚀控制股份有限公司,913302257532689254,浙江,
838360,空分医用,四川空分医用设备工程股份有限公司,91512081206850713M,四川,
838361,丰华神州,新疆丰华神州汽车配件股份有限公司,916501005605080569,新疆,
838362,全景视觉,福建全景视觉数码科技股份有限公司,91350100717380485J,福建,
838363,思为客,东莞市思为客自动化科技股份有限公司,91441900698185317E,广东,
838364,点景科技,福建点景科技股份有限公司,91350602733633681A,福建,
838365,沃格股份,无锡沃格自动化科技股份有限公司,91320200050281007L,江苏,
838366,盈联科技,北京世纪盈联科技股份有限公司,91110108600374014K,北京,
838367,永发医用,江苏永发医用设备科技股份有限公司,91320582703684269C,江苏,
838369,景然环境,云南景然环境建设股份有限公司,91530100676585715M,云南,
838370,倍仕得,倍仕得电气科技（杭州）股份有限公司,913301106970784644,浙江,
838371,红石阳光,红石阳光（北京）科技股份有限公司,911101085858821672,北京,
838372,醉纯科技,北京醉纯科技股份有限公司,91110102080533770R,北京,
838373,九立股份,深圳市九立供应链股份有限公司,91440300558656332Y,深圳,
838374,国广联,南京国广联传媒股份有限公司,91320111793739656U,江苏,
838375,百联广合,江苏百联广合房地产销售代理股份有限公司,91320111686705055P,江苏,
838377,华科易汇,北京华科易汇科技股份有限公司,91110108082888946A,北京,
838378,阳光医疗,合肥阳光医疗科技股份有限公司,91340100711757819T,安徽,
838379,贺思特,湖北贺思特工程股份有限公司,91420113748331379A,湖北,
838380,文都教育,世纪文都教育科技集团股份有限公司,9111010878170486XR,北京,
838381,德孚转向,安徽德孚转向系统股份有限公司,91340221798104043G,安徽,
838383,爱立特,杭州爱立特生态环境科技股份有限公司,913301007494533946,浙江,
838384,新港联行,四川新港联行置业股份有限公司,91510000782277791P,四川,
838385,爱家科技,北京创新爱尚家科技股份有限公司,911101080627636876,北京,
838386,三德利,山东三德利环保材料股份有限公司,913713007884791675,山东,
838387,中视华闻,北京中视华闻传媒技术股份有限公司,91110113781738285T,北京,
838388,凯能环保,青岛凯能环保科技股份有限公司,91370281713772166J,山东,
838389,万盾股份,浙江万盾制冷股份有限公司,91330624695277582A,浙江,
838390,华巨药房,滁州华巨百姓缘大药房连锁股份有限公司,9134110275298062X0,安徽,
838391,菲鹏生物,菲鹏生物股份有限公司,91440300731124074W,广东,
838392,利尔康,湖南利尔康生物股份有限公司,430621000006159 ,湖南,
838393,慧点科技,湖北慧点科技股份有限公司,91420500667679664P,湖北,
838395,科融数据,南京科融数据系统股份有限公司,91320100608927074P,江苏,
838396,华时捷,长沙华时捷环保科技发展股份有限公司,914301007170839747,湖南,
838397,道森媒体,武汉道森媒体股份有限公司,91420100691866398A,湖北,
838398,佑泽股份,上海佑泽服饰股份有限公司,913100007867080427,上海,
838399,高瓷科技,广东高瓷科技股份有限公司,91440902722484588W,广东,
838400,台冠电子,河南台冠电子科技股份有限公司,91410726676729870B,河南,
838401,南特科技,珠海市南特金属科技股份有限公司,9144040069649284X9,广东,
